date,deaths_total,natl_total,natl_ratio,month,region,deaths_total_lag1,deaths_total_lag12,ratio_25_49,ratio_50_64,ratio_65_69,ratio_65_plus,ratio_70_plus,ratio_75_plus,ratio_80_plus,ratio_85_plus,year,month_sin,month_cos,deaths_rolling3,deaths_diff1,cause_cerebro,cause_cancer,cause_pneumonia,cause_cardio,event_dummy,is_winter,is_summer,season_spring,season_summer,season_winter,expected_deaths,excess_mortality,year_sq,era_2000s,era_2010s,era_2020s,rolling_std_3,rolling_std_6,diff2,winter_event,summer_event,elderly65_winter,elderly75_winter,elderly85_winter
2012-09-01,1536,20364.0,0.9039729709733902,9,경상북도,1539.0,1547.0,39.6,20.6,3.6,10.8,7.1,3.9,1.8,0.6,2012,-1.0,-1.8369701987210287e-16,1554.0,-27.0,145.80570229956496,435.06349055708455,54.11460151250727,93.07124227865476,0,0,0,0,0,0,1349.8076923076924,13.79398774754238,4048144,0,1,0,1.7320508076098349,14.778362561473502,3.0,0,0,0.0,0.0,0.0
2012-10-01,1775,22909.0,1.0169473969764975,10,경상북도,1536.0,1689.0,39.6,20.6,3.6,10.8,7.1,3.9,1.8,0.6,2012,-0.8660254037844385,0.5,1547.0,-3.0,174.5933809819764,454.3466831166367,71.64805119255381,113.81386410432394,0,0,0,0,0,0,1447.826923076923,22.59752679745507,4048144,0,1,0,137.98671433632103,95.32558243548728,239.0,0,0,0.0,0.0,0.0
2012-10-01,1775,22909.0,1.0169473969764975,10,경상북도,1536.0,1689.0,39.6,20.6,3.6,10.8,7.1,3.9,1.8,0.6,2012,-0.8660254037844385,0.5,1547.0,-3.0,174.5933809819764,454.3466831166367,71.64805119255381,113.81386410432394,0,0,0,0,0,0,1447.826923076923,22.59752679745507,4048144,0,1,0,137.98671433632103,122.65181069460304,-239.0,0,0,0.0,0.0,0.0
2012-11-01,1729,22015.0,0.9772620779797282,11,경상북도,1775.0,1651.0,39.6,20.6,3.6,10.8,7.1,3.9,1.8,0.6,2012,-0.5000000000000003,0.8660254037844383,1616.6666666666667,239.0,171.2477858918583,432.8968397076967,59.61372891215823,102.7210706932052,0,0,0,0,0,0,1444.2692307692307,19.714521583979124,4048144,0,1,0,26.55811238272549,123.11566377461727,-46.0,0,0,0.0,0.0,0.0
2012-11-01,1729,22015.0,0.9772620779797282,11,경상북도,1775.0,1651.0,39.6,20.6,3.6,10.8,7.1,3.9,1.8,0.6,2012,-0.5000000000000003,0.8660254037844383,1616.6666666666667,239.0,171.2477858918583,432.8968397076967,59.61372891215823,102.7210706932052,0,0,0,0,0,0,1444.2692307692307,19.714521583979124,4048144,0,1,0,26.55811238272549,113.42310170330298,46.0,0,0,0.0,0.0,0.0
2012-12-01,1745,23234.0,1.0313743865446745,12,경상북도,1729.0,1727.0,39.6,20.6,3.6,10.8,7.1,3.9,1.8,0.6,2012,-2.4492935982947064e-16,1.0,1680.0,-46.0,182.37383467992544,454.5633482015754,69.41652123327516,115.16664378860672,0,1,0,0,0,1,1530.3461538461538,14.02648973334339,4048144,0,1,0,9.237604307041725,90.03647409058355,16.0,0,0,10.8,3.9,0.6
2012-12-01,1745,23234.0,1.0313743865446745,12,경상북도,1729.0,1727.0,39.6,20.6,3.6,10.8,7.1,3.9,1.8,0.6,2012,-2.4492935982947064e-16,1.0,1680.0,-46.0,182.37383467992544,454.5633482015754,69.41652123327516,115.16664378860672,0,1,0,0,0,1,1530.3461538461538,14.02648973334339,4048144,0,1,0,9.237604307041725,20.88699755025016,-16.0,0,0,10.8,3.9,0.6
2013-01-01,1839,23930.0,1.062270339589139,1,경상북도,1745.0,1833.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,0.4999999999999999,0.8660254037844386,1749.6666666666667,16.0,181.57385939403463,451.979504606154,86.24146544546213,114.00670399292764,0,1,0,0,0,1,1550.173076923077,18.63191455048444,4052169,0,1,0,54.27092530382616,42.041249584950485,94.0,0,0,11.3,4.2,0.7
2013-01-01,1839,23930.0,1.062270339589139,1,경상북도,1745.0,1833.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,0.4999999999999999,0.8660254037844386,1749.6666666666667,16.0,181.57385939403463,451.979504606154,86.24146544546213,114.00670399292764,0,1,0,0,0,1,1550.173076923077,18.63191455048444,4052169,0,1,0,54.27092530382616,53.156373089192,-94.0,0,0,11.3,4.2,0.7
2013-02-01,1704,21903.0,0.9722903154208488,2,경상북도,1839.0,2094.0,38.7,21.3,3.7,11.3,7.6,4.2,1.9,0.7,2013,0.8660254037844385,0.5000000000000001,1771.0,94.0,167.464298345581,405.80115220219295,90.27144046627812,106.32702224841609,0,1,0,0,0,1,1387.8461538461538,22.780179580977723,4052169,0,1,0,77.94228634060039,57.8771687858353,-135.0,0,0,11.3,4.2,0.7
